user_id,segment_operation,segment_19,order_count,total_amount,days_since_order,r_score,f_score,m_score,is_vip
U000317,流失低潜,流失-一次性-中价值,1,265.83,327,3,1,2,0
U000321,流失高潜用户,流失-复购-中价值,2,213.47,293,3,2,2,0
U000322,流失高潜用户,流失-复购-中价值,3,545.32,310,3,2,2,0
U000323,流失可弃,流失-一次性-低价值,1,10.71,459,3,1,1,0
U000332,流失低潜,流失-一次性-中价值,1,332.69,422,3,1,2,0
U000337,流失低潜,流失-一次性-中价值,1,194.81,274,3,1,2,0
U000338,普通新客,活跃-一次性-中价值,1,232.48,42,1,1,2,0
U000367,唤醒普通,唤醒-一次性-中价值,1,836.76,98,2,1,2,0
U000368,唤醒高潜,唤醒-复购-高价值,2,1536.08,67,2,2,3,0
U000371,普通新客,活跃-一次性-中价值,1,166.64,9,1,1,2,0
U000372,唤醒普通,唤醒-一次性-中价值,1,155.97,165,2,1,2,0
U000375,流失高潜用户,流失-复购-中价值,2,263.06,310,3,2,2,0
U000379,高潜新客,活跃-一次性-高价值,1,884.25,11,1,1,3,0
U000384,流失低潜,流失-一次性-中价值,1,147.97,447,3,1,2,0
U000386,至尊VIP,至尊VIP,1,4799.94,5,1,1,3,1
U000391,唤醒普通,唤醒-一次性-中价值,1,539.69,64,2,1,2,0
U000394,流失低潜,流失-一次性-高价值,1,1100.02,266,3,1,3,0
U000396,唤醒普通,唤醒-一次性-高价值,1,1484.94,159,2,1,3,0
U000397,流失可弃,流失-一次性-低价值,1,96.56,297,3,1,1,0
U000412,流失低潜,流失-一次性-中价值,1,508.40,217,3,1,2,0
U000429,唤醒普通,唤醒-一次性-中价值,1,644.76,101,2,1,2,0
U000435,唤醒普通,唤醒-一次性-中价值,1,345.18,140,2,1,2,0
U000436,至尊VIP,至尊VIP,1,2673.43,353,3,1,3,1
U000437,流失可弃,流失-一次性-低价值,1,42.19,192,3,1,1,0
U000441,流失低潜,流失-一次性-高价值,1,886.21,451,3,1,3,0
U000455,流失低潜,流失-一次性-中价值,1,715.83,421,3,1,2,0
U000458,至尊VIP,至尊VIP,1,2868.55,120,2,1,3,1
U000471,流失低潜,流失-一次性-中价值,1,283.05,227,3,1,2,0
U000475,流失低潜,流失-一次性-中价值,1,439.64,226,3,1,2,0
U000494,至尊VIP,至尊VIP,1,2460.43,258,3,1,3,1
U000514,活跃复购潜力用户,活跃-复购-中价值,2,618.42,25,1,2,2,0
U000522,流失低潜,流失-一次性-中价值,1,143.16,206,3,1,2,0
U000524,流失低潜,流失-一次性-中价值,1,425.45,372,3,1,2,0
U000530,流失低潜,流失-一次性-中价值,1,395.47,367,3,1,2,0
U000533,唤醒普通,唤醒-一次性-低价值,1,87.46,79,2,1,1,0
U000535,流失低潜,流失-一次性-中价值,1,186.13,237,3,1,2,0
U000539,流失可弃,流失-一次性-低价值,1,83.11,222,3,1,1,0
U000540,流失低潜,流失-一次性-中价值,1,205.33,365,3,1,2,0
U000542,流失低潜,流失-一次性-中价值,1,293.13,187,3,1,2,0
U000545,流失高潜用户,流失-复购-中价值,2,561.47,205,3,2,2,0
U000546,至尊VIP,至尊VIP,1,2510.02,345,3,1,3,1
U000562,流失低潜,流失-一次性-中价值,1,168.05,248,3,1,2,0
U000564,唤醒普通,唤醒-一次性-中价值,1,757.85,73,2,1,2,0
U000567,至尊VIP,至尊VIP,2,2968.25,63,2,2,3,1
U000568,流失低潜,流失-一次性-中价值,1,238.30,559,3,1,2,0
U000571,流失低潜,流失-一次性-中价值,1,466.90,357,3,1,2,0
U000594,普通新客,活跃-一次性-中价值,1,533.63,11,1,1,2,0
U000597,唤醒普通,唤醒-一次性-低价值,1,56.65,149,2,1,1,0
U000605,唤醒普通,唤醒-一次性-低价值,1,107.69,89,2,1,1,0
U000606,流失低潜,流失-一次性-高价值,1,1211.07,534,3,1,3,0
U000607,唤醒普通,唤醒-一次性-高价值,1,1103.05,137,2,1,3,0
U000623,流失高潜用户,流失-复购-高价值,2,889.77,377,3,2,3,0
U000625,普通新客,活跃-一次性-低价值,1,101.90,28,1,1,1,0
U000628,唤醒普通,唤醒-一次性-高价值,1,996.18,103,2,1,3,0
U000631,唤醒普通,唤醒-一次性-中价值,1,591.19,93,2,1,2,0
U000636,流失可弃,流失-一次性-低价值,1,21.74,305,3,1,1,0
U000642,流失可弃,流失-一次性-低价值,1,71.86,189,3,1,1,0
U000651,流失可弃,流失-一次性-低价值,1,27.81,252,3,1,1,0
U000669,流失低潜,流失-一次性-中价值,1,165.03,207,3,1,2,0
U000671,流失低潜,流失-一次性-中价值,1,208.70,399,3,1,2,0
U000676,流失低潜,流失-一次性-中价值,1,535.95,237,3,1,2,0
U000677,普通新客,活跃-一次性-中价值,1,226.20,5,1,1,2,0
U000685,流失低潜,流失-一次性-高价值,1,1771.90,332,3,1,3,0
U000687,唤醒普通,唤醒-一次性-低价值,1,20.15,90,2,1,1,0
U000688,流失低潜,流失-一次性-中价值,1,239.16,196,3,1,2,0
U000695,唤醒高潜,唤醒-复购-中价值,2,627.11,64,2,2,2,0
U000705,流失可弃,流失-一次性-低价值,1,128.28,226,3,1,1,0
U000713,流失高潜用户,流失-复购-中价值,2,442.11,273,3,2,2,0
U000716,流失低潜,流失-一次性-中价值,1,341.61,215,3,1,2,0
U000728,普通新客,活跃-一次性-中价值,1,197.04,4,1,1,2,0
U000731,普通新客,活跃-一次性-中价值,1,796.28,35,1,1,2,0
U000732,唤醒普通,唤醒-一次性-低价值,1,49.59,146,2,1,1,0
U000747,流失可弃,流失-一次性-低价值,1,18.31,524,3,1,1,0
U000753,流失可弃,流失-一次性-低价值,1,98.81,495,3,1,1,0
U000763,唤醒普通,唤醒-一次性-中价值,1,737.24,85,2,1,2,0
U000765,唤醒普通,唤醒-一次性-中价值,1,268.79,109,2,1,2,0
U000767,流失可弃,流失-一次性-低价值,1,20.94,250,3,1,1,0
U000774,唤醒普通,唤醒-一次性-中价值,1,665.14,139,2,1,2,0
U000778,至尊VIP,至尊VIP,1,4283.43,271,3,1,3,1
U000779,流失低潜,流失-一次性-中价值,1,477.87,383,3,1,2,0
U000782,普通新客,活跃-一次性-低价值,1,81.88,15,1,1,1,0
U000784,唤醒高潜,唤醒-复购-高价值,2,1684.54,169,2,2,3,0
U000788,流失低潜,流失-一次性-中价值,1,365.24,458,3,1,2,0
U000793,流失低潜,流失-一次性-中价值,1,846.79,239,3,1,2,0
U000795,流失高潜用户,流失-复购-中价值,2,504.54,285,3,2,2,0
U000797,流失低潜,流失-一次性-中价值,1,422.60,488,3,1,2,0
U000801,唤醒高潜,唤醒-复购-高价值,2,1941.45,90,2,2,3,0
U000803,流失可弃,流失-一次性-低价值,1,72.33,558,3,1,1,0
U000809,流失低潜,流失-一次性-中价值,1,273.50,241,3,1,2,0
U000811,唤醒普通,唤醒-一次性-中价值,1,657.34,155,2,1,2,0
U000815,唤醒普通,唤醒-一次性-低价值,1,26.68,83,2,1,1,0
U000817,普通新客,活跃-一次性-低价值,1,96.55,46,1,1,1,0
U000823,唤醒普通,唤醒-一次性-低价值,1,13.29,118,2,1,1,0
U000824,普通新客,活跃-一次性-低价值,1,37.03,34,1,1,1,0
U000827,唤醒普通,唤醒-一次性-高价值,1,1062.32,135,2,1,3,0
U000833,唤醒普通,唤醒-一次性-中价值,1,864.16,107,2,1,2,0
U000840,流失低潜,流失-一次性-高价值,1,1695.00,330,3,1,3,0
U000846,普通新客,活跃-一次性-中价值,1,696.80,41,1,1,2,0
U000856,唤醒普通,唤醒-一次性-低价值,1,38.54,104,2,1,1,0
U000861,普通新客,活跃-一次性-中价值,1,162.11,5,1,1,2,0
U000875,流失可弃,流失-一次性-低价值,1,94.35,427,3,1,1,0
U000878,流失低潜,流失-一次性-中价值,1,441.06,504,3,1,2,0
U000879,流失可弃,流失-一次性-低价值,1,71.59,420,3,1,1,0
U000889,唤醒普通,唤醒-一次性-低价值,1,21.10,180,2,1,1,0
U000906,唤醒普通,唤醒-一次性-低价值,1,108.18,83,2,1,1,0
U000909,唤醒高潜,唤醒-复购-中价值,2,345.60,102,2,2,2,0
U000912,流失低潜,流失-一次性-中价值,1,556.23,198,3,1,2,0
U000916,流失低潜,流失-一次性-中价值,1,418.78,430,3,1,2,0
U000918,流失低潜,流失-一次性-中价值,1,513.47,209,3,1,2,0
U000921,普通新客,活跃-一次性-低价值,1,50.13,38,1,1,1,0
U000927,唤醒普通,唤醒-一次性-高价值,1,1097.96,145,2,1,3,0
U000930,唤醒普通,唤醒-一次性-高价值,1,1680.95,115,2,1,3,0
U000932,至尊VIP,至尊VIP,1,2927.65,17,1,1,3,1
U000936,唤醒普通,唤醒-一次性-低价值,1,66.98,142,2,1,1,0
U000938,流失低潜,流失-一次性-中价值,1,361.80,335,3,1,2,0
U000941,至尊VIP,至尊VIP,1,2520.03,313,3,1,3,1
U000968,唤醒普通,唤醒-一次性-中价值,1,490.29,149,2,1,2,0
U000975,流失低潜,流失-一次性-中价值,1,330.06,628,3,1,2,0
U000979,唤醒普通,唤醒-一次性-中价值,1,229.47,104,2,1,2,0
U000983,流失可弃,流失-一次性-低价值,1,81.16,449,3,1,1,0
U000985,流失可弃,流失-一次性-低价值,1,52.33,235,3,1,1,0
U000986,至尊VIP,至尊VIP,1,2035.42,521,3,1,3,1
U000998,流失低潜,流失-一次性-高价值,1,1015.47,299,3,1,3,0
U001006,流失低潜,流失-一次性-中价值,1,703.29,225,3,1,2,0
U001008,流失低潜,流失-一次性-高价值,1,1906.06,592,3,1,3,0
U001010,流失可弃,流失-一次性-低价值,1,41.44,328,3,1,1,0
U001016,唤醒高潜,唤醒-复购-高价值,2,1435.36,155,2,2,3,0
U001018,流失低潜,流失-一次性-中价值,1,335.61,273,3,1,2,0
U001021,流失高潜用户,流失-复购-中价值,2,134.67,477,3,2,2,0
U001024,流失低潜,流失-一次性-中价值,1,354.49,401,3,1,2,0
U001032,唤醒高潜,唤醒-复购-高价值,2,1680.87,173,2,2,3,0
U001044,流失低潜,流失-一次性-中价值,1,815.47,196,3,1,2,0
U001050,唤醒普通,唤醒-一次性-中价值,1,311.40,158,2,1,2,0
U001052,唤醒高潜,唤醒-复购-高价值,3,1045.75,87,2,2,3,0
U001054,唤醒高潜,唤醒-复购-中价值,3,842.63,99,2,2,2,0
U001061,唤醒普通,唤醒-一次性-高价值,1,1433.78,155,2,1,3,0
U001067,流失可弃,流失-一次性-低价值,1,84.98,183,3,1,1,0
U001068,流失低潜,流失-一次性-高价值,1,1400.72,545,3,1,3,0
U001078,流失低潜,流失-一次性-中价值,1,483.46,318,3,1,2,0
U001079,唤醒普通,唤醒-一次性-中价值,1,222.67,112,2,1,2,0
U001090,唤醒普通,唤醒-一次性-中价值,1,510.01,95,2,1,2,0
U001094,流失低潜,流失-一次性-中价值,1,742.02,342,3,1,2,0
U001098,唤醒普通,唤醒-一次性-低价值,1,128.39,152,2,1,1,0
U001099,唤醒普通,唤醒-一次性-中价值,1,676.19,159,2,1,2,0
U001101,唤醒普通,唤醒-一次性-低价值,1,72.69,147,2,1,1,0
U001117,流失可弃,流失-一次性-低价值,1,12.40,412,3,1,1,0
U001123,唤醒普通,唤醒-一次性-中价值,1,604.62,63,2,1,2,0
U001131,流失低潜,流失-一次性-中价值,1,215.95,334,3,1,2,0
U001132,流失可弃,流失-一次性-低价值,1,130.31,275,3,1,1,0
U001137,普通新客,活跃-一次性-中价值,1,394.91,6,1,1,2,0
U001138,流失低潜,流失-一次性-中价值,1,706.95,456,3,1,2,0
U001142,唤醒高潜,唤醒-复购-高价值,2,1487.39,68,2,2,3,0
U001144,流失低潜,流失-一次性-高价值,1,1827.88,210,3,1,3,0
U001145,流失可弃,流失-一次性-低价值,1,108.50,201,3,1,1,0
U001163,流失低潜,流失-一次性-中价值,1,195.46,333,3,1,2,0
U001170,唤醒普通,唤醒-一次性-中价值,1,228.80,153,2,1,2,0
U001175,流失低潜,流失-一次性-高价值,1,907.64,442,3,1,3,0
U001180,普通新客,活跃-一次性-中价值,1,204.78,22,1,1,2,0
U001181,唤醒普通,唤醒-一次性-中价值,1,307.18,152,2,1,2,0
U001182,唤醒普通,唤醒-一次性-中价值,1,490.48,86,2,1,2,0
U001192,高潜新客,活跃-一次性-高价值,1,1212.47,9,1,1,3,0
U001193,唤醒普通,唤醒-一次性-高价值,1,986.21,83,2,1,3,0
U001202,普通新客,活跃-一次性-低价值,1,42.48,52,1,1,1,0
U001204,流失高潜用户,流失-复购-中价值,2,356.89,499,3,2,2,0
U001205,唤醒普通,唤醒-一次性-低价值,1,59.97,180,2,1,1,0
U001210,流失低潜,流失-一次性-中价值,1,219.95,303,3,1,2,0
U001225,普通新客,活跃-一次性-中价值,1,463.10,9,1,1,2,0
U001229,高潜新客,活跃-一次性-高价值,1,1504.20,34,1,1,3,0
U001245,流失可弃,流失-一次性-低价值,1,82.96,233,3,1,1,0
U001254,唤醒普通,唤醒-一次性-中价值,1,185.01,121,2,1,2,0
U001256,流失可弃,流失-一次性-低价值,1,133.67,186,3,1,1,0
U001266,流失可弃,流失-一次性-低价值,1,40.84,464,3,1,1,0
U001269,流失可弃,流失-一次性-低价值,1,78.11,407,3,1,1,0
U001271,流失低潜,流失-一次性-高价值,1,1087.18,630,3,1,3,0
U001277,流失低潜,流失-一次性-中价值,1,603.06,490,3,1,2,0
U001288,流失低潜,流失-一次性-中价值,1,250.04,372,3,1,2,0
U001293,唤醒高潜,唤醒-复购-高价值,2,1918.04,152,2,2,3,0
U001303,流失低潜,流失-一次性-中价值,1,653.44,416,3,1,2,0
U001309,流失高潜用户,流失-复购-中价值,2,609.23,516,3,2,2,0
U001311,普通新客,活跃-一次性-中价值,1,410.63,58,1,1,2,0
U001316,唤醒普通,唤醒-一次性-中价值,1,492.48,165,2,1,2,0
U001325,普通新客,活跃-一次性-中价值,1,293.47,40,1,1,2,0
U001337,唤醒普通,唤醒-一次性-中价值,1,508.16,125,2,1,2,0
U001341,流失可弃,流失-一次性-低价值,1,3.69,345,3,1,1,0
U001351,高潜新客,活跃-一次性-高价值,1,1528.09,18,1,1,3,0
U001356,流失低潜,流失-一次性-高价值,1,955.36,282,3,1,3,0
U001357,普通新客,活跃-一次性-中价值,1,492.29,42,1,1,2,0
U001360,普通新客,活跃-一次性-中价值,1,525.22,42,1,1,2,0
U001363,普通新客,活跃-一次性-中价值,1,311.96,47,1,1,2,0
U001368,流失可弃,流失-一次性-低价值,1,54.55,359,3,1,1,0
U001373,唤醒普通,唤醒-一次性-中价值,1,827.98,64,2,1,2,0
U001377,流失低潜,流失-一次性-高价值,1,1907.59,217,3,1,3,0
U001381,唤醒普通,唤醒-一次性-中价值,1,616.85,84,2,1,2,0
U001383,唤醒高潜,唤醒-复购-中价值,2,722.50,144,2,2,2,0
U001394,普通新客,活跃-一次性-中价值,1,620.82,51,1,1,2,0
U001397,普通新客,活跃-一次性-中价值,1,447.60,3,1,1,2,0
U001398,流失低潜,流失-一次性-中价值,1,402.72,342,3,1,2,0
U001408,流失低潜,流失-一次性-高价值,1,1376.79,234,3,1,3,0
U001423,普通新客,活跃-一次性-中价值,1,405.41,33,1,1,2,0
U001424,流失可弃,流失-一次性-低价值,1,59.25,474,3,1,1,0
U001431,流失低潜,流失-一次性-高价值,1,1072.77,389,3,1,3,0
U001432,核心高价值忠诚用户,活跃-复购-高价值,2,1273.86,50,1,2,3,0
U001434,流失低潜,流失-一次性-中价值,1,179.20,263,3,1,2,0
U001435,普通新客,活跃-一次性-中价值,1,349.64,22,1,1,2,0
U001438,流失低潜,流失-一次性-中价值,1,451.30,206,3,1,2,0
U001440,唤醒普通,唤醒-一次性-低价值,1,42.15,152,2,1,1,0
U001454,流失低潜,流失-一次性-高价值,1,1772.36,204,3,1,3,0
U001455,流失可弃,流失-一次性-低价值,1,77.84,271,3,1,1,0
U001465,至尊VIP,至尊VIP,1,3552.96,20,1,1,3,1
U001470,流失可弃,流失-一次性-低价值,1,14.09,553,3,1,1,0
U001471,普通新客,活跃-一次性-低价值,1,20.74,29,1,1,1,0
U001474,至尊VIP,至尊VIP,1,2215.32,599,3,1,3,1
U001476,唤醒普通,唤醒-一次性-中价值,1,146.53,177,2,1,2,0
U001492,唤醒高潜,唤醒-复购-高价值,2,1501.77,113,2,2,3,0
U001502,流失高潜用户,流失-复购-中价值,2,203.97,258,3,2,2,0
U001509,高潜新客,活跃-一次性-高价值,1,1424.27,6,1,1,3,0
U001512,流失低潜,流失-一次性-中价值,1,264.67,522,3,1,2,0
U001530,唤醒普通,唤醒-一次性-中价值,1,345.35,78,2,1,2,0
U001537,唤醒普通,唤醒-一次性-高价值,1,1249.04,159,2,1,3,0
U001544,唤醒普通,唤醒-一次性-中价值,1,376.18,116,2,1,2,0
U001550,普通新客,活跃-一次性-中价值,1,371.60,23,1,1,2,0
U001551,唤醒普通,唤醒-一次性-低价值,1,96.97,61,2,1,1,0
U001554,流失低潜,流失-一次性-中价值,1,354.88,273,3,1,2,0
U001565,活跃复购潜力用户,活跃-复购-中价值,2,404.76,38,1,2,2,0
U001570,流失低潜,流失-一次性-中价值,1,244.44,512,3,1,2,0
U001572,唤醒普通,唤醒-一次性-低价值,1,84.86,161,2,1,1,0
U001579,唤醒普通,唤醒-一次性-中价值,1,331.98,94,2,1,2,0
U001585,高潜新客,活跃-一次性-高价值,1,1444.97,15,1,1,3,0
U001594,高潜新客,活跃-一次性-高价值,1,1613.29,53,1,1,3,0
U001604,高潜新客,活跃-一次性-高价值,1,902.41,27,1,1,3,0
U001609,流失低潜,流失-一次性-中价值,1,197.07,218,3,1,2,0
U001614,流失可弃,流失-一次性-低价值,1,119.58,234,3,1,1,0
U001626,流失可弃,流失-一次性-低价值,1,29.34,444,3,1,1,0
U001627,流失低潜,流失-一次性-中价值,1,241.88,312,3,1,2,0
U001628,唤醒普通,唤醒-一次性-中价值,1,283.42,90,2,1,2,0
U001644,流失低潜,流失-一次性-中价值,1,193.12,249,3,1,2,0
U001653,唤醒普通,唤醒-一次性-中价值,1,347.29,136,2,1,2,0
U001660,流失可弃,流失-一次性-低价值,1,70.39,313,3,1,1,0
U001666,流失低潜,流失-一次性-中价值,1,619.09,426,3,1,2,0
U001668,唤醒高潜,唤醒-复购-高价值,2,1655.58,169,2,2,3,0
U001679,高潜新客,活跃-一次性-高价值,1,1114.47,7,1,1,3,0
U001687,至尊VIP,至尊VIP,1,3418.84,111,2,1,3,1
U001695,普通新客,活跃-一次性-低价值,1,34.13,42,1,1,1,0
U001698,流失低潜,流失-一次性-中价值,1,376.31,335,3,1,2,0
U001703,唤醒普通,唤醒-一次性-高价值,1,1847.15,166,2,1,3,0
U001708,至尊VIP,至尊VIP,1,2121.05,426,3,1,3,1
U001713,唤醒普通,唤醒-一次性-中价值,1,135.85,125,2,1,2,0
U001714,流失低潜,流失-一次性-中价值,1,476.89,307,3,1,2,0
U001719,唤醒高潜,唤醒-复购-中价值,2,502.38,139,2,2,2,0
U001722,唤醒高潜,唤醒-复购-中价值,2,453.13,172,2,2,2,0
U001731,唤醒普通,唤醒-一次性-低价值,1,108.57,114,2,1,1,0
U001736,流失低潜,流失-一次性-中价值,1,463.05,210,3,1,2,0
U001739,至尊VIP,至尊VIP,1,2963.85,144,2,1,3,1
U001741,唤醒普通,唤醒-一次性-高价值,1,1607.69,122,2,1,3,0
U001746,唤醒普通,唤醒-一次性-中价值,1,586.17,76,2,1,2,0
U001759,活跃复购潜力用户,活跃-复购-中价值,3,533.60,23,1,2,2,0
U001762,至尊VIP,至尊VIP,1,2131.63,92,2,1,3,1
U001782,普通新客,活跃-一次性-低价值,1,12.40,41,1,1,1,0
U001799,流失低潜,流失-一次性-中价值,1,238.38,430,3,1,2,0
U001802,流失低潜,流失-一次性-中价值,1,755.52,305,3,1,2,0
U001804,唤醒普通,唤醒-一次性-中价值,1,154.28,107,2,1,2,0
U001810,流失低潜,流失-一次性-中价值,1,552.59,350,3,1,2,0
U001817,高潜新客,活跃-一次性-高价值,1,1378.17,56,1,1,3,0
U001824,普通新客,活跃-一次性-低价值,1,126.99,3,1,1,1,0
U001836,唤醒普通,唤醒-一次性-低价值,1,57.27,177,2,1,1,0
U001838,流失低潜,流失-一次性-高价值,1,1841.68,445,3,1,3,0
U001839,普通新客,活跃-一次性-低价值,1,14.33,45,1,1,1,0
U001840,唤醒普通,唤醒-一次性-低价值,1,65.91,106,2,1,1,0
U001853,流失高潜用户,流失-复购-中价值,2,168.33,472,3,2,2,0
U001857,普通新客,活跃-一次性-中价值,1,819.76,57,1,1,2,0
U001864,流失低潜,流失-一次性-中价值,1,204.76,605,3,1,2,0
U001871,流失低潜,流失-一次性-中价值,1,151.39,212,3,1,2,0
U001881,流失可弃,流失-一次性-低价值,1,110.71,260,3,1,1,0
U001882,高潜新客,活跃-一次性-高价值,1,1621.54,49,1,1,3,0
U001885,唤醒普通,唤醒-一次性-中价值,1,440.88,149,2,1,2,0
U001886,唤醒普通,唤醒-一次性-中价值,1,138.95,125,2,1,2,0
U001890,唤醒普通,唤醒-一次性-低价值,1,4.94,130,2,1,1,0
U001893,普通新客,活跃-一次性-低价值,1,48.74,54,1,1,1,0
U001909,流失可弃,流失-一次性-低价值,1,114.32,202,3,1,1,0
U001915,唤醒普通,唤醒-一次性-中价值,1,468.21,114,2,1,2,0
U001919,唤醒普通,唤醒-一次性-高价值,1,1021.12,108,2,1,3,0
U001925,流失低潜,流失-一次性-中价值,1,408.17,604,3,1,2,0
U001926,至尊VIP,至尊VIP,1,2011.89,302,3,1,3,1
U001927,唤醒普通,唤醒-一次性-中价值,1,643.60,80,2,1,2,0
U001956,流失可弃,流失-一次性-低价值,1,10.52,395,3,1,1,0
U001973,活跃复购潜力用户,活跃-复购-中价值,2,378.27,20,1,2,2,0
U001974,流失低潜,流失-一次性-高价值,1,1474.44,321,3,1,3,0
U001976,流失低潜,流失-一次性-中价值,1,654.76,265,3,1,2,0
U001977,普通新客,活跃-一次性-低价值,1,9.53,40,1,1,1,0
U001988,流失低潜,流失-一次性-中价值,1,601.59,356,3,1,2,0
U001992,至尊VIP,至尊VIP,1,2036.33,564,3,1,3,1
U002001,流失低潜,流失-一次性-高价值,1,1271.03,281,3,1,3,0
U002002,流失低潜,流失-一次性-中价值,1,598.90,234,3,1,2,0
U002004,唤醒普通,唤醒-一次性-中价值,1,590.12,93,2,1,2,0
U002011,流失低潜,流失-一次性-中价值,1,510.63,543,3,1,2,0
U002012,普通新客,活跃-一次性-中价值,1,809.67,58,1,1,2,0
U002015,流失可弃,流失-一次性-低价值,1,53.26,432,3,1,1,0
U002020,唤醒普通,唤醒-一次性-低价值,1,82.04,164,2,1,1,0
U002021,流失低潜,流失-一次性-中价值,1,307.04,349,3,1,2,0
U002026,唤醒普通,唤醒-一次性-高价值,1,1039.79,109,2,1,3,0
U002028,流失低潜,流失-一次性-中价值,1,466.25,201,3,1,2,0
U002032,流失低潜,流失-一次性-中价值,1,203.57,207,3,1,2,0
U002040,流失低潜,流失-一次性-中价值,1,142.05,182,3,1,2,0
U002047,普通新客,活跃-一次性-中价值,1,631.84,60,1,1,2,0
U002049,流失低潜,流失-一次性-中价值,1,326.80,361,3,1,2,0
U002050,唤醒普通,唤醒-一次性-中价值,1,225.24,82,2,1,2,0
